SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR25-01605394,Sign Repair Request - All Other Signs,PCE,,CDOT - Department of Transportation,Open,Internet,9/2/2025 23:53,9/2/2025 23:53,,3408 W 38TH ST,Chicago,Illinois,60632,3408,W,38TH,ST,FALSE,FALSE,,,58,12,8,H030,1,09,0911,11,,23,3,9,1154184.7228394994,1879266.0221113954,41.824539,-87.70986,"(41.82453900094, -87.709860000002)"
SR25-01605393,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:53,9/3/2025 0:31,9/2/2025 23:53,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605391,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:53,9/3/2025 0:31,9/2/2025 23:53,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605389,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:50,9/3/2025 0:31,9/2/2025 23:50,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605388,Building Violation,BBA,,DOB - Buildings,Open,Mobile Device,9/2/2025 23:49,9/2/2025 23:49,,6512 S FAIRFIELD AVE,,,,6512,S,FAIRFIELD,AVE,FALSE,FALSE,,,66,16,11,J037,3,08,0831,6,,23,3,9,1159085.6259482284,1861243.9344273251,41.774985,-87.692373,"(41.77498500094, -87.692373000002)"
SR25-01605387,Yard Waste Pick-Up Request,SCQ,311 City Services,Streets and Sanitation,Completed,Phone Call,9/2/2025 23:49,9/3/2025 9:53,9/3/2025 9:53,5237 N NEWCASTLE AVE,Chicago,Illinois,60656,5237,N,NEWCASTLE,AVE,FALSE,FALSE,,,10,41,1,Z109,1,16,1613,30,,23,3,9,1130013.2329025613,1934536.9251087643,41.976657,-87.7972725,"(41.976657000941, -87.797272500002)"
SR25-01605384,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:49,9/3/2025 0:31,9/2/2025 23:49,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605383,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:48,9/3/2025 0:31,9/2/2025 23:48,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605379,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 23:48,9/3/2025 0:31,9/2/2025 23:48,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,23,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01605378,Rodent Baiting/Rat Complaint,SGA,,Streets and Sanitation,Open,Mobile Device,9/2/2025 23:48,9/2/2025 23:48,,505 W BELDEN AVE,,,,505,W,BELDEN,AVE,FALSE,FALSE,,,7,43,5,O017,1,18,1812,20,,23,3,9,1172481.976562732,1915537.0348188526,41.9236852,-87.64166077,"(41.923685196554, -87.641660768817)"
